amountRaised,campaignTitle,currencyType,goal
35 м² ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_35m_812et._1738425035,"ул. Искры, д. 66/9, лит. 7
  р-н Адлерский",9 200 000
20 м² ,https://m.avito.ru/sochi/kvartiry/kvartira-studiya_261m_23et._2178990642,"Краснодарский край, Сочи, ул. Ленина, 298В/7
  р-н Адлерский",8 700 000
10 м² ,https://m.avito.ru/sochi/kvartiry/svob._planirovka_60m_33et._2214468360,"Краснодарский край, Сочи, жилой район Адлер, Орбитовская ул., 20/14
  р-н Адлерский",9 850 000
50 м² ,https://m.avito.ru/sochi/kvartiry/2-k._apartamenty_50m_812et._2263573061,"ул. Просвещения, д. 24
  р-н Адлерский",9 900 000
49.2 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_492m_25et._2214577343,"Краснодарский край, Сочи, жилой район Адлер, ул. Калинина, 37
  р-н Адлерский",14 500 000
3 м ,https://m.avito.ru/sochi/kvartiry/kvartira-studiya_211m_44et._2158195066,"Краснодарский край, г.о. Сочи, с. Эстосадок, Эстонская ул., 9/4
  р-н Адлерский",11 200 000
10 м² ,https://m.avito.ru/vysokoe/kvartiry/svob._planirovka_84m_33et._2237640584,"Краснодарский край, г.о. Сочи, с. Молдовка, Тимашевская ул., 226А
  р-н Адлерский",7 500 000
40 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_40m_13et._2119326965,"Краснодарский край, Сочи, жилой район Адлер, ул. Тюльпанов, 1А/1
  р-н Адлерский",7 500 000
без отделки ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_297m_44et._1985704437,"ул. Урожайная, жилые дома
  р-н Адлерский",6 500 000
3 м² ,https://m.avito.ru/sochi/kvartiry/svob._planirovka_14m_23et._2149962886,"Краснодарский край, Сочи, жилой район Адлер, Орбитовская ул., 20/12
  р-н Адлерский",3 500 000
раздельный ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_26m_35et._2222033422,"Краснодарский край, Сочи, жилой район Адлер, Садовая ул., 66
  р-н Адлерский",7 000 000
2.8 м ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_297m_15et._1915288091,"Краснодарский край, Сочи, Адлер, Фермерская ул., 35
  р-н Адлерский",6 000 000
11 м² ,https://m.avito.ru/sochi/kvartiry/svob._planirovka_11m_13et._2235978597,"Краснодарский край, Сочи, жилой район Адлер, Орбитовская ул., 20/12
  р-н Адлерский",2 750 000
13 м² ,https://m.avito.ru/orel-izumrud/kvartiry/1-k._kvartira_43m_34et._2262214366,"Краснодарский край, г.о. Сочи, с. Орёл-Изумруд, ул. Лазурная Долина, 198
  р-н Адлерский",4 900 000
38 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_38m_13et._2181011109,"Краснодарский край, г.о. Сочи, с. Высокое, Ивановская ул., 92/4
  р-н Адлерский",7 000 000
3.2 м ,https://m.avito.ru/sochi/kvartiry/apartamenty-studiya_27m_22et._2186862545,"Краснодарский край, Сочи, жилой район Адлер, ул. Станиславского, 3А
  р-н Адлерский",10 900 000
35 м² ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_35m_412et._2156525833,"ул. Акаций, д. 34, лит. 1/1
  р-н Адлерский",13 650 000
35 м² ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_35m_56et._2264483774,"Краснодарский край, Сочи, жилой район Адлер, Садовая ул., 68
  р-н Адлерский",6 000 000
совмещенный ,https://m.avito.ru/sochi/kvartiry/apartamenty-studiya_241m_13et._2266629139,"Краснодарский край, Сочи, жилой район Адлер, Аэровокзальный пер., 1
  р-н Адлерский",6 025 000
47 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_47m_35et._2254444395,"Краснодарский край, Сочи, жилой район Адлер, ул. Голубые Дали, 17
  р-н Адлерский",7 200 000
64.7 м² ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_647m_710et._2248603377,"Краснодарский край, Сочи, жилой район Адлер, ул. Тюльпанов, 41Е
  р-н Адлерский",7 000 000
14 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_74m_714et._1857831215,"Краснодарский край, Сочи, ул. Гастелло, 41/3
  р-н Адлерский",15 700 000
30 м² ,https://m.avito.ru/sochi/kvartiry/1-k._kvartira_30m_34et._2266140789,"Краснодарский край, Сочи, Соколиная ул., 14
  р-н Адлерский",6 950 000
балкон ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_40m_26et._2262024161,"Краснодарский край, федеральная территория Сириус, пос. городского типа Сириус, посёлок Мирный, Ружейная ул., 60
  р-н Адлерский",12 000 000
лоджия ,https://m.avito.ru/sochi/kvartiry/3-k._kvartira_671m_35et._2137396954,"Краснодарский край, Сочи, жилой район Адлер, ул. Голубые Дали, 42
  р-н Адлерский",13 600 000
чистовая ,https://m.avito.ru/sochi/kvartiry/apartamenty-studiya_212m_917et._2182850995,"Краснодарский край, Сочи, ул. Ленина, 219А
  р-н Адлерский",13 000 000
47.7 м² ,https://m.avito.ru/sochi/kvartiry/2-k._kvartira_477m_1213et._2180569035,"ул. Гастелло, д. 28, корп. 1
  р-н Адлерский",6 000 000
